pos_x_1m_normalized	pos_y_1m_normalized	blink_bool	pupil_diameter_100nm	interesting_point_value
326191	421813	1	272404	0
327019	421613	1	278567	0
327425	421526	1	278847	0
327840	421725	1	276796	0
328211	421992	1	279421	0
328589	422379	1	275601	0
328499	423098	1	277166	0
328834	423068	1	281396	0
328846	423203	1	282354	0
329017	423938	1	282381	0
329527	424274	1	282045	0
329728	424026	1	283922	0
329741	424247	1	285554	0
329990	424663	1	285498	0
330169	424900	1	287248	0
330188	425067	1	290469	0
330456	425217	1	288396	0
330209	425729	1	285171	1
330460	426063	1	285158	0
330485	426592	1	289734	0
330856	426316	1	287201	0
330910	426394	1	287066	0
330897	426271	1	286202	0
331012	426584	1	286602	0
331264	426388	1	284975	0
331180	426863	1	284038	0
331076	427039	1	287340	0
332691	427057	1	286247	0
333767	426781	1	288694	0
335422	426314	1	288983	0
337195	426283	1	288629	0
339163	426062	1	286378	0
340638	425767	1	285992	0
342421	425650	1	290683	0
343757	425746	1	284188	0
345051	425515	1	287392	0
346205	425495	1	286957	0
347257	425645	1	290319	0
348769	425595	1	288063	0
350020	424651	1	285416	0
351054	424672	1	291339	0
351783	424473	1	290563	0
352565	424411	1	290760	0
352824	424096	1	291573	0
353075	423769	1	291887	0
353403	423767	1	292228	0
354085	423423	1	292963	0
354584	423517	1	291720	0
354908	423493	1	294128	0
355316	423627	1	292953	0
355851	423250	1	293561	0
355967	423715	1	292393	0
356202	423830	1	292535	0
356491	424402	1	292775	0
356442	424576	1	292551	0
356586	425031	1	289565	0
356475	424992	1	291752	0
356946	425274	1	291718	0
356836	425475	1	294596	0
357001	425476	1	293892	0
357338	425801	1	291672	0
357679	426169	1	290625	0
358043	426802	1	294558	0
358141	427105	1	294318	0
358283	426980	1	295078	0
358395	427086	1	295050	0
358451	427237	1	301170	0
358985	427578	1	305744	0
357963	425246	1	326580	0
358289	425967	1	312041	0
360470	426767	1	289702	0
363232	430927	1	275536	0
367357	433210	1	288759	0
371983	434120	1	293577	0
376317	434931	1	293930	0
380354	434553	1	301183	0
459558	359465	0	281649	0
-1	-1	-1	-1	0
395846	-303553	0	134826	0
409047	-334492	0	120725	0
0	0	0	0	0
-1	-1	-1	-1	0
0	0	0	0	0
426414	-1280	0	108999	0
437070	146152	0	114503	0
-1	-1	-1	-1	0
441116	249203	0	106904	0
0	0	0	112863	0
0	0	0	62890	0
0	0	0	67241	0
-1	-1	-1	-1	0
459698	667244	0	105052	0
-1	-1	-1	-1	0
-1	-1	-1	-1	0
0	0	0	0	0
470826	615959	0	110405	0
-1	-1	-1	-1	0
462603	605890	0	114812	0
-1	-1	-1	-1	0
463148	597192	0	117897	0
461332	593950	0	115389	0
-1	-1	-1	-1	0
-1	-1	-1	-1	0
460399	598157	0	113750	0
-1	-1	-1	-1	0
462303	601204	1	246668	0
462349	586799	0	124711	0
470245	576390	0	129965	0
